ip.src,ip.dst,eth.src,eth.dst,frame.len,frame.time_epoch,relative_time
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823402,6822.721592903137
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823256,6822.721446990967
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823257,6822.721447944641
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823287,6822.721477985382
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823287,6822.721477985382
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823294,6822.721484899521
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823294,6822.721484899521
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823295,6822.721486091614
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823306,6822.721497058868
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823306,6822.721497058868
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823306,6822.721497058868
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823306,6822.721497058868
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823316,6822.721507072449
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823316,6822.721507072449
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823316,6822.721507072449
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823316,6822.721507072449
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823328,6822.721518993378
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823335,6822.7215259075165
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823335,6822.7215259075165
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823336,6822.721526861191
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823339,6822.721529960632
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823341,6822.721531867981
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823343,6822.721534013748
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,109,1681750616.823398,6822.72158908844
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750617.231042,6823.129232883453
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,78,1681750617.231268,6823.129458904266
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,78,1681750617.233108,6823.13129901886
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,86,1681750617.23311,6823.1313009262085
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,78,1681750617.232967,6823.131157875061
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,78,1681750617.232974,6823.131165027618
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.232976,6823.131166934967
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233145,6823.13133597374
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,109,1681750617.233157,6823.131347894669
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233161,6823.131351947784
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233164,6823.131355047226
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233165,6823.1313560009
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233167,6823.131357908249
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233168,6823.131358861923
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233186,6823.131376981735
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233182,6823.131372928619
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233184,6823.131375074387
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233186,6823.131376981735
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233193,6823.131383895874
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233194,6823.131385087967
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.233198,6823.131388902664
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.2332,6823.131391048431
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750617.23361,6823.131800889969
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234316,6823.1325070858
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234335,6823.132525920868
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,78,1681750617.234508,6823.132699012756
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,94,1681750617.234517,6823.132708072662
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,86,1681750617.234532,6823.132723093033
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,86,1681750617.234533,6823.132724046707
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,86,1681750617.234534,6823.1327250003815
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234389,6823.132580041885
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234391,6823.132581949234
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234392,6823.132582902908
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234393,6823.132583856583
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234393,6823.132583856583
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234394,6823.1325850486755
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,78,1681750617.234395,6823.13258600235
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234396,6823.132586956024
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.234418,6823.132608890533
